"Year","Month","Day","daily_rainfall","date","season","if_rain"
"1983",12,"12",0,1983-12-12,"wet",FALSE
"1983",12,"13",0,1983-12-13,"wet",FALSE
"1983",12,"14",0,1983-12-14,"wet",FALSE
"1983",12,"15",12.7,1983-12-15,"wet",TRUE
"1983",12,"16",0.1,1983-12-16,"wet",TRUE
"1983",12,"17",1.9,1983-12-17,"wet",TRUE
"1983",12,"18",23.5,1983-12-18,"wet",TRUE
"1983",12,"19",0.5,1983-12-19,"wet",TRUE
"1983",12,"20",0,1983-12-20,"wet",FALSE
"1983",12,"21",0,1983-12-21,"wet",FALSE
"1983",12,"22",0,1983-12-22,"wet",FALSE
"1983",12,"23",0,1983-12-23,"wet",FALSE
"1983",12,"24",12.2,1983-12-24,"wet",TRUE
"1983",12,"25",164.4,1983-12-25,"wet",TRUE
"1983",12,"26",42.2,1983-12-26,"wet",TRUE
"1983",12,"27",5.8,1983-12-27,"wet",TRUE
"1983",12,"28",0,1983-12-28,"wet",FALSE
"1983",12,"29",0,1983-12-29,"wet",FALSE
"1983",12,"30",0,1983-12-30,"wet",FALSE
"1983",12,"31",0,1983-12-31,"wet",FALSE
"1993",7,"1",38.7,1993-07-01,"dry",TRUE
"1993",7,"2",20.1,1993-07-02,"dry",TRUE
"1993",7,"3",0,1993-07-03,"dry",FALSE
"1993",7,"4",46.4,1993-07-04,"dry",TRUE
"1993",7,"5",25.6,1993-07-05,"dry",TRUE
"1993",7,"6",4.8,1993-07-06,"dry",TRUE
"1993",7,"7",0,1993-07-07,"dry",FALSE
"1993",7,"8",29.7,1993-07-08,"dry",TRUE
"1993",7,"9",0,1993-07-09,"dry",FALSE
"1993",7,"10",0,1993-07-10,"dry",FALSE
"1993",7,"11",0,1993-07-11,"dry",FALSE
"1993",7,"12",1,1993-07-12,"dry",TRUE
"1993",7,"13",8.9,1993-07-13,"dry",TRUE
"1993",7,"14",0.9,1993-07-14,"dry",TRUE
"1993",7,"15",0,1993-07-15,"dry",FALSE
"1993",7,"16",0,1993-07-16,"dry",FALSE
"1993",7,"17",0.1,1993-07-17,"dry",TRUE
"1993",7,"18",2.8,1993-07-18,"dry",TRUE
"1993",7,"19",0,1993-07-19,"dry",FALSE
"1993",7,"20",0.1,1993-07-20,"dry",TRUE
"1993",7,"21",0,1993-07-21,"dry",FALSE
"1993",7,"22",21,1993-07-22,"dry",TRUE
"1993",7,"23",0,1993-07-23,"dry",FALSE
"1993",7,"24",17.5,1993-07-24,"dry",TRUE
"1993",7,"25",2,1993-07-25,"dry",TRUE
"1993",7,"26",11.3,1993-07-26,"dry",TRUE
"1993",7,"27",9.1,1993-07-27,"dry",TRUE
"1993",7,"28",0,1993-07-28,"dry",FALSE
"1993",7,"29",0,1993-07-29,"dry",FALSE
"1993",7,"30",0,1993-07-30,"dry",FALSE
"1993",7,"31",0,1993-07-31,"dry",FALSE
"1993",12,"1",6,1993-12-01,"wet",TRUE
"1993",12,"2",7.9,1993-12-02,"wet",TRUE
"1993",12,"3",2.8,1993-12-03,"wet",TRUE
"1993",12,"4",22.2,1993-12-04,"wet",TRUE
"1993",12,"5",3.5,1993-12-05,"wet",TRUE
"1993",12,"6",25.8,1993-12-06,"wet",TRUE
"1993",12,"7",0,1993-12-07,"wet",FALSE
"1993",12,"8",67.6,1993-12-08,"wet",TRUE
"1993",12,"9",0.1,1993-12-09,"wet",TRUE
"1993",12,"10",8.7,1993-12-10,"wet",TRUE
"1993",12,"11",0,1993-12-11,"wet",FALSE
"1993",12,"12",30.8,1993-12-12,"wet",TRUE
"1993",12,"13",27.8,1993-12-13,"wet",TRUE
"1993",12,"14",1.4,1993-12-14,"wet",TRUE
"1993",12,"15",3.1,1993-12-15,"wet",TRUE
"1993",12,"16",0,1993-12-16,"wet",FALSE
"1993",12,"17",0,1993-12-17,"wet",FALSE
"1993",12,"18",2.3,1993-12-18,"wet",TRUE
"1993",12,"19",0,1993-12-19,"wet",FALSE
"1993",12,"20",5.5,1993-12-20,"wet",TRUE
"1993",12,"21",0,1993-12-21,"wet",FALSE
"1993",12,"22",1.5,1993-12-22,"wet",TRUE
"1993",12,"23",54.7,1993-12-23,"wet",TRUE
"1993",12,"24",30.5,1993-12-24,"wet",TRUE
"1993",12,"25",4.6,1993-12-25,"wet",TRUE
"1993",12,"26",0,1993-12-26,"wet",FALSE
"1993",12,"27",0,1993-12-27,"wet",FALSE
"1993",12,"28",0,1993-12-28,"wet",FALSE
"1993",12,"29",1.7,1993-12-29,"wet",TRUE
"1993",12,"30",0,1993-12-30,"wet",FALSE
"1993",12,"31",0,1993-12-31,"wet",FALSE
"2003",7,"1",30.9,2003-07-01,"dry",TRUE
"2003",7,"2",0,2003-07-02,"dry",FALSE
"2003",7,"3",1.3,2003-07-03,"dry",TRUE
"2003",7,"4",16.8,2003-07-04,"dry",TRUE
"2003",7,"5",0,2003-07-05,"dry",FALSE
"2003",7,"6",0,2003-07-06,"dry",FALSE
"2003",7,"7",16,2003-07-07,"dry",TRUE
"2003",7,"8",12,2003-07-08,"dry",TRUE
"2003",7,"9",12,2003-07-09,"dry",TRUE
"2003",7,"10",0,2003-07-10,"dry",FALSE
"2003",7,"11",20,2003-07-11,"dry",TRUE
"2003",7,"12",4.9,2003-07-12,"dry",TRUE
"2003",7,"13",0,2003-07-13,"dry",FALSE
"2003",7,"14",0,2003-07-14,"dry",FALSE
"2003",7,"15",3.7,2003-07-15,"dry",TRUE
"2003",7,"16",15,2003-07-16,"dry",TRUE
"2003",7,"17",0.1,2003-07-17,"dry",TRUE
"2003",7,"18",5,2003-07-18,"dry",TRUE
"2003",7,"19",22.8,2003-07-19,"dry",TRUE
"2003",7,"20",0.4,2003-07-20,"dry",TRUE
"2003",7,"21",0,2003-07-21,"dry",FALSE
"2003",7,"22",0,2003-07-22,"dry",FALSE
"2003",7,"23",0,2003-07-23,"dry",FALSE
"2003",7,"24",0,2003-07-24,"dry",FALSE
"2003",7,"25",0,2003-07-25,"dry",FALSE
"2003",7,"26",0,2003-07-26,"dry",FALSE
"2003",7,"27",0,2003-07-27,"dry",FALSE
"2003",7,"28",0,2003-07-28,"dry",FALSE
"2003",7,"29",9.5,2003-07-29,"dry",TRUE
"2003",7,"30",0,2003-07-30,"dry",FALSE
"2003",7,"31",0,2003-07-31,"dry",FALSE
"2003",12,"1",18.6,2003-12-01,"wet",TRUE
"2003",12,"2",0.5,2003-12-02,"wet",TRUE
"2003",12,"3",0,2003-12-03,"wet",FALSE
"2003",12,"4",1.4,2003-12-04,"wet",TRUE
"2003",12,"5",0,2003-12-05,"wet",FALSE
"2003",12,"6",0,2003-12-06,"wet",FALSE
"2003",12,"7",5.2,2003-12-07,"wet",TRUE
"2003",12,"8",0.3,2003-12-08,"wet",TRUE
"2003",12,"9",40.5,2003-12-09,"wet",TRUE
"2003",12,"10",11.3,2003-12-10,"wet",TRUE
"2003",12,"11",0,2003-12-11,"wet",FALSE
"2003",12,"12",14.6,2003-12-12,"wet",TRUE
"2003",12,"13",2.4,2003-12-13,"wet",TRUE
"2003",12,"14",4.9,2003-12-14,"wet",TRUE
"2003",12,"15",0,2003-12-15,"wet",FALSE
"2003",12,"16",32.4,2003-12-16,"wet",TRUE
"2003",12,"17",1,2003-12-17,"wet",TRUE
"2003",12,"18",15.8,2003-12-18,"wet",TRUE
"2003",12,"19",3.1,2003-12-19,"wet",TRUE
"2003",12,"20",92.1,2003-12-20,"wet",TRUE
"2003",12,"21",23.3,2003-12-21,"wet",TRUE
"2003",12,"22",0,2003-12-22,"wet",FALSE
"2003",12,"23",0,2003-12-23,"wet",FALSE
"2003",12,"24",0,2003-12-24,"wet",FALSE
"2003",12,"25",0,2003-12-25,"wet",FALSE
"2003",12,"26",0,2003-12-26,"wet",FALSE
"2003",12,"27",0,2003-12-27,"wet",FALSE
"2003",12,"28",5.5,2003-12-28,"wet",TRUE
"2003",12,"29",0,2003-12-29,"wet",FALSE
"2003",12,"30",0,2003-12-30,"wet",FALSE
"2003",12,"31",0.1,2003-12-31,"wet",TRUE
"2013",7,"1",0,2013-07-01,"dry",FALSE
"2013",7,"2",2.6,2013-07-02,"dry",TRUE
"2013",7,"3",0,2013-07-03,"dry",FALSE
"2013",7,"4",2.2,2013-07-04,"dry",TRUE
"2013",7,"5",0,2013-07-05,"dry",FALSE
"2013",7,"6",0,2013-07-06,"dry",FALSE
"2013",7,"7",0,2013-07-07,"dry",FALSE
"2013",7,"8",2.2,2013-07-08,"dry",TRUE
"2013",7,"9",8.8,2013-07-09,"dry",TRUE
"2013",7,"10",0,2013-07-10,"dry",FALSE
"2013",7,"11",15.8,2013-07-11,"dry",TRUE
"2013",7,"12",15.6,2013-07-12,"dry",TRUE
"2013",7,"13",1.6,2013-07-13,"dry",TRUE
"2013",7,"14",4.4,2013-07-14,"dry",TRUE
"2013",7,"15",0,2013-07-15,"dry",FALSE
"2013",7,"16",0.6,2013-07-16,"dry",TRUE
"2013",7,"17",13.6,2013-07-17,"dry",TRUE
"2013",7,"18",31.6,2013-07-18,"dry",TRUE
"2013",7,"19",0,2013-07-19,"dry",FALSE
"2013",7,"20",0,2013-07-20,"dry",FALSE
"2013",7,"21",0,2013-07-21,"dry",FALSE
"2013",7,"22",0,2013-07-22,"dry",FALSE
"2013",7,"23",0,2013-07-23,"dry",FALSE
"2013",7,"24",0,2013-07-24,"dry",FALSE
"2013",7,"25",0,2013-07-25,"dry",FALSE
"2013",7,"26",37.4,2013-07-26,"dry",TRUE
"2013",7,"27",19.6,2013-07-27,"dry",TRUE
"2013",7,"28",0,2013-07-28,"dry",FALSE
"2013",7,"29",2.4,2013-07-29,"dry",TRUE
"2013",7,"30",0,2013-07-30,"dry",FALSE
"2013",7,"31",16.2,2013-07-31,"dry",TRUE
"2013",12,"1",25.6,2013-12-01,"wet",TRUE
"2013",12,"2",11.8,2013-12-02,"wet",TRUE
"2013",12,"3",119.8,2013-12-03,"wet",TRUE
"2013",12,"4",0.4,2013-12-04,"wet",TRUE
"2013",12,"5",0.4,2013-12-05,"wet",TRUE
"2013",12,"6",7.4,2013-12-06,"wet",TRUE
"2013",12,"7",0,2013-12-07,"wet",FALSE
"2013",12,"8",37.8,2013-12-08,"wet",TRUE
"2013",12,"9",0,2013-12-09,"wet",FALSE
"2013",12,"10",0.8,2013-12-10,"wet",TRUE
"2013",12,"11",0,2013-12-11,"wet",FALSE
"2013",12,"12",2.8,2013-12-12,"wet",TRUE
"2013",12,"13",0,2013-12-13,"wet",FALSE
"2013",12,"14",19,2013-12-14,"wet",TRUE
"2013",12,"15",14.4,2013-12-15,"wet",TRUE
"2013",12,"16",0,2013-12-16,"wet",FALSE
"2013",12,"17",0,2013-12-17,"wet",FALSE
"2013",12,"18",75,2013-12-18,"wet",TRUE
"2013",12,"19",0.2,2013-12-19,"wet",TRUE
"2013",12,"20",11.2,2013-12-20,"wet",TRUE
"2013",12,"21",0,2013-12-21,"wet",FALSE
"2013",12,"22",1.2,2013-12-22,"wet",TRUE
"2013",12,"23",2.4,2013-12-23,"wet",TRUE
"2013",12,"24",0.6,2013-12-24,"wet",TRUE
"2013",12,"25",0,2013-12-25,"wet",FALSE
"2013",12,"26",1.4,2013-12-26,"wet",TRUE
"2013",12,"27",0,2013-12-27,"wet",FALSE
"2013",12,"28",0.2,2013-12-28,"wet",TRUE
"2013",12,"29",0,2013-12-29,"wet",FALSE
"2013",12,"30",2.4,2013-12-30,"wet",TRUE
"2013",12,"31",13.4,2013-12-31,"wet",TRUE
"2023",7,"1",0.4,2023-07-01,"dry",TRUE
"2023",7,"2",0,2023-07-02,"dry",FALSE
"2023",7,"3",0.2,2023-07-03,"dry",TRUE
"2023",7,"4",0,2023-07-04,"dry",FALSE
"2023",7,"5",0,2023-07-05,"dry",FALSE
"2023",7,"6",1.2,2023-07-06,"dry",TRUE
"2023",7,"7",14.4,2023-07-07,"dry",TRUE
"2023",7,"8",0,2023-07-08,"dry",FALSE
"2023",7,"9",11.2,2023-07-09,"dry",TRUE
"2023",7,"10",5.8,2023-07-10,"dry",TRUE
"2023",7,"11",4.6,2023-07-11,"dry",TRUE
"2023",7,"12",0,2023-07-12,"dry",FALSE
"2023",7,"13",0,2023-07-13,"dry",FALSE
"2023",7,"14",44.4,2023-07-14,"dry",TRUE
"2023",7,"15",0,2023-07-15,"dry",FALSE
"2023",7,"16",0,2023-07-16,"dry",FALSE
"2023",7,"17",0.2,2023-07-17,"dry",TRUE
"2023",7,"18",7.8,2023-07-18,"dry",TRUE
"2023",7,"19",15.8,2023-07-19,"dry",TRUE
"2023",7,"20",51.4,2023-07-20,"dry",TRUE
"2023",7,"21",0.4,2023-07-21,"dry",TRUE
"2023",7,"22",0,2023-07-22,"dry",FALSE
"2023",7,"23",0,2023-07-23,"dry",FALSE
"2023",7,"24",0,2023-07-24,"dry",FALSE
"2023",7,"25",0,2023-07-25,"dry",FALSE
"2023",7,"26",0,2023-07-26,"dry",FALSE
"2023",7,"27",0,2023-07-27,"dry",FALSE
"2023",7,"28",0.2,2023-07-28,"dry",TRUE
"2023",7,"29",0,2023-07-29,"dry",FALSE
"2023",7,"30",0,2023-07-30,"dry",FALSE
"2023",7,"31",0,2023-07-31,"dry",FALSE
"2023",12,"1",17.4,2023-12-01,"wet",TRUE
"2023",12,"2",0.8,2023-12-02,"wet",TRUE
"2023",12,"3",3.8,2023-12-03,"wet",TRUE
"2023",12,"4",0,2023-12-04,"wet",FALSE
"2023",12,"5",2,2023-12-05,"wet",TRUE
"2023",12,"6",4.2,2023-12-06,"wet",TRUE
"2023",12,"7",1.2,2023-12-07,"wet",TRUE
"2023",12,"8",0,2023-12-08,"wet",FALSE
"2023",12,"9",5.8,2023-12-09,"wet",TRUE
"2023",12,"10",0,2023-12-10,"wet",FALSE
"2023",12,"11",10,2023-12-11,"wet",TRUE
"2023",12,"12",3,2023-12-12,"wet",TRUE
"2023",12,"13",0,2023-12-13,"wet",FALSE
"2023",12,"14",57.6,2023-12-14,"wet",TRUE
"2023",12,"15",0.4,2023-12-15,"wet",TRUE
"2023",12,"16",0,2023-12-16,"wet",FALSE
"2023",12,"17",0,2023-12-17,"wet",FALSE
"2023",12,"18",0,2023-12-18,"wet",FALSE
"2023",12,"19",0.4,2023-12-19,"wet",TRUE
"2023",12,"20",2.4,2023-12-20,"wet",TRUE
"2023",12,"21",7.6,2023-12-21,"wet",TRUE
"2023",12,"22",8.4,2023-12-22,"wet",TRUE
"2023",12,"23",4.4,2023-12-23,"wet",TRUE
"2023",12,"24",0,2023-12-24,"wet",FALSE
"2023",12,"25",22.6,2023-12-25,"wet",TRUE
"2023",12,"26",7.6,2023-12-26,"wet",TRUE
"2023",12,"27",22.2,2023-12-27,"wet",TRUE
"2023",12,"28",32.4,2023-12-28,"wet",TRUE
"2023",12,"29",8.4,2023-12-29,"wet",TRUE
"2023",12,"30",0.2,2023-12-30,"wet",TRUE
"2023",12,"31",33.4,2023-12-31,"wet",TRUE
