column_name,use,description,data_type,num_missing_values,num_unique_values
ST267Q02JA,,"Agree/disagree: If I walked into my classes upset, my teachers would be concerned about me.",numeric,2534,5
ST267Q03JA,,"Agree/disagree: If I came back to visit my school 3 years from now, my teachers would be excited to see me.",numeric,2498,5
ST267Q04JA,,Agree/disagree: I feel intimidated by the teachers at my school.,numeric,2524,5
ST267Q05JA,,"Agree/disagree: When my teachers ask how I am doing, they are really interested in my answer.",numeric,2484,5
ST267Q06JA,,Agree/disagree: The teachers at my school are friendly towards me.,numeric,2567,5
ST267Q07JA,,Agree/disagree: The teachers at my school are interested in students' well-being.,numeric,2564,5
ST267Q08JA,,Agree/disagree: The teachers at my school are mean towards me.,numeric,2447,5
ST034Q01TA,,Agree/disagree:  I feel like an outsider (or left out of things) at school.,numeric,1139,5
ST034Q02TA,,Agree/disagree:  I make friends easily at school.,numeric,1087,5
ST034Q03TA,,Agree/disagree:  I feel like I belong at school.,numeric,1164,5
ST034Q04TA,,Agree/disagree:  I feel awkward and out of place in my school.,numeric,1174,5
ST034Q05TA,,Agree/disagree:  Other students seem to like me.,numeric,1161,5
ST034Q06TA,,Agree/disagree:  I feel lonely at school.,numeric,1147,5
ST038Q03NA,,"In past 12 months, how often: Other students left me out of things on purpose.",numeric,53,5
ST038Q04NA,,"In past 12 months, how often: Other students made fun of me.",numeric,49,5
ST038Q05NA,,"In past 12 months, how often: I was threatened by other students.",numeric,60,5
ST038Q06NA,,"In past 12 months, how often: Other students took away or destroyed things that belonged to me.",numeric,50,5
ST038Q07NA,,"In past 12 months, how often: I got hit or pushed around by other students.",numeric,51,5
ST038Q08NA,,"In past 12 months, how often: Other students spread nasty rumours about me.",numeric,58,5
ST038Q09JA,,"In past 12 months, how often: I was in a physical fight on school property.",numeric,49,5
ST038Q10JA,,"In past 12 months, how often: I stayed home from school because I felt unsafe.",numeric,49,5
ST038Q11JA,,"In past 12 months, how often: I gave money to someone at school because they threatened me.",numeric,47,5
ST265Q01JA,,Agree/disagree: I feel safe on my way to school.,numeric,43,5
ST265Q02JA,,Agree/disagree: I feel safe on my way home from school.,numeric,46,5
ST265Q03JA,,Agree/disagree: I feel safe in my classrooms at school.,numeric,44,5
ST265Q04JA,,"Agree/disagree: I feel safe at other places at school (e.g. hallway, cafeteria, restroom).",numeric,43,5
ST266Q01JA,,Occur during past four weeks:  Our school was vandalised.,numeric,52,3
ST266Q02JA,,Occur during past four weeks:  I witnessed a fight on school property in which someone got hurt.,numeric,51,3
ST266Q03JA,,Occur during past four weeks:  I saw gangs in school.,numeric,53,3
ST266Q04JA,,Occur during past four weeks:  I heard a student threaten to hurt another student.,numeric,52,3
ST266Q05JA,,Occur during past four weeks:  I saw a student carrying a gun or knife at school.,numeric,53,3
ST294Q01JA,,How many days/wk before school: Eat breakfast,numeric,50,7
ST294Q02JA,,How many days/wk before school: Study for school or homework,numeric,97,7
ST294Q03JA,,How many days/wk before school: Work in the household or take care of family members,numeric,73,7
ST294Q04JA,,How many days/wk before school: Work for pay,numeric,58,7
ST294Q05JA,,"How many days/wk before school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])",numeric,50,7
ST295Q01JA,,How many days/wk after school: Eat dinner,numeric,69,7
ST295Q02JA,,How many days/wk after school: Study for school or homework,numeric,79,7
ST295Q03JA,,How many days/wk after school: Work in the household or take care of family members,numeric,108,7
ST295Q04JA,,How many days/wk after school: Work for pay,numeric,106,7
ST295Q05JA,,"How many days/wk after school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])",numeric,75,7
ST326Q01JA,,"This school year, how many hours/day use [digital resources] for: For learning activities at school",numeric,57,10
ST326Q02JA,,"This school year, how many hours/day use [digital resources] for: For learning activities before and after school",numeric,112,10
ST326Q03JA,,"This school year, how many hours/day use [digital resources] for: For learning activities on weekends",numeric,98,10
ST326Q04JA,,"This school year, how many hours/day use [digital resources] for: For leisure at school",numeric,78,10
ST326Q05JA,,"This school year, how many hours/day use [digital resources] for: For leisure before and after school",numeric,78,10
ST326Q06JA,,"This school year, how many hours/day use [digital resources] for: For leisure on weekends",numeric,71,10
ST326Q07JA,,"This school year, how many hours/day use [digital resources] for: For learning activities at school",numeric,6606,1
ST326Q08JA,,"This school year, how many hours/day use [digital resources] for: For learning activities before and after school",numeric,6606,1
ST326Q09JA,,"This school year, how many hours/day use [digital resources] for: For learning activities on weekends",numeric,6606,1
ST326Q10JA,,"This school year, how many hours/day use [digital resources] for: For leisure at school",numeric,6606,1
ST326Q11JA,,"This school year, how many hours/day use [digital resources] for: For leisure before and after school",numeric,6606,1
ST326Q12JA,,"This school year, how many hours/day use [digital resources] for: For leisure on weekends",numeric,6606,1
ST322Q01JA,,How often: I turn off notifications from social networks and apps on my [digital devices] during class.,numeric,1103,7
ST322Q02JA,,How often: I turn off notifications from social networks and apps on my [digital devices] when I go to sleep.,numeric,1143,7
ST322Q03JA,,How often: I keep my [digital device] near me to answer messages when I am home.,numeric,1156,7
ST322Q04JA,,How often:  I have my [digital device] open in class so I can take notes or search for information.,numeric,1182,7
ST322Q06JA,,How often: I feel pressured to be online and answer messages when I am in class.,numeric,1212,7
ST322Q07JA,,How often:  I feel nervous/anxious when I don't have my [digital device] near me.,numeric,1111,7
ST307Q01JA,,Agree/disagree: I keep working on a task until it is finished.,numeric,3320,6
ST307Q02JA,,Agree/disagree: I apply additional effort when work becomes challenging.,numeric,3274,6
ST307Q03JA,,Agree/disagree: I finish tasks that I started even when they become boring.,numeric,3295,6
ST307Q04JA,,Agree/disagree: I stop when work becomes too difficult.,numeric,3302,6
ST307Q05JA,,Agree/disagree: I am more persistent than most people I know.,numeric,3346,6
ST307Q06JA,,Agree/disagree: I give up after making mistakes.,numeric,3378,6
ST307Q07JA,,Agree/disagree: I quit doing homework if it is too long.,numeric,3306,6
ST307Q08JA,,Agree/disagree: I complete tasks even when they become more difficult than I thought.,numeric,3377,6
ST307Q09JA,,Agree/disagree: I finish what I start.,numeric,3335,6
ST307Q10JA,,Agree/disagree: I give up easily.,numeric,3370,6
ST309Q01JA,,Agree/disagree: I am careful with what I say to others.,numeric,3371,6
ST309Q02JA,,Agree/disagree: I get easily distracted.,numeric,3288,6
ST309Q03JA,,Agree/disagree: I say the first thing that comes to my mind.,numeric,3354,6
ST309Q04JA,,Agree/disagree: I like to make sure there are no mistakes.,numeric,3252,6
ST309Q05JA,,Agree/disagree: I carefully check homework before turning it in.,numeric,3349,6
ST309Q06JA,,Agree/disagree: I stop to think before acting.,numeric,3354,6
ST309Q07JA,,Agree/disagree: I rush into activities without thinking.,numeric,3387,6
ST309Q08JA,,Agree/disagree: I wait for my turn to speak in class.,numeric,3254,6
ST309Q09JA,,Agree/disagree: I am more impulsive than most people I know.,numeric,3372,6
ST309Q10JA,,Agree/disagree: I think carefully before doing something.,numeric,3313,6
ST301Q01JA,,Agree/disagree: I am curious about many different things.,numeric,3327,6
ST301Q02JA,,Agree/disagree: I like to ask questions.,numeric,3338,6
ST301Q03JA,,Agree/disagree: I get frustrated when I have to learn the details of a topic.,numeric,3372,6
ST301Q04JA,,Agree/disagree: I like to know how things work.,numeric,3304,6
ST301Q05JA,,Agree/disagree: I love learning new things in school.,numeric,3307,6
ST301Q06JA,,Agree/disagree: I am more curious than most people I know.,numeric,3348,6
ST301Q07JA,,Agree/disagree: I like to develop hypotheses and check them based on what I observe.,numeric,3258,6
ST301Q08JA,,Agree/disagree: I find learning new things to be boring.,numeric,3358,6
ST301Q09JA,,Agree/disagree: I spend time to find more information about things that interest me.,numeric,3400,6
ST301Q10JA,,Agree/disagree: I like learning new things.,numeric,3283,6
ST343Q01JA,,Agree/disagree: I like to help others.,numeric,3350,6
ST343Q02JA,,Agree/disagree: I get annoyed when I have to compromise with others.,numeric,3295,6
ST343Q03JA,,Agree/disagree: I work well with other people.,numeric,3297,6
ST343Q04JA,,Agree/disagree: I start arguments with others.,numeric,3395,6
ST343Q05JA,,Agree/disagree: I avoid working together with other students.,numeric,3346,6
ST343Q06JA,,Agree/disagree: I am ready to help anybody.,numeric,3393,6
ST343Q07JA,,Agree/disagree: I tend to be selfish.,numeric,3373,6
ST343Q08JA,,Agree/disagree: I work better when I am part of a team.,numeric,3257,6
ST343Q09JA,,Agree/disagree: I enjoy cooperating with my classmates.,numeric,3317,6
ST343Q10JA,,Agree/disagree: I argue a lot.,numeric,3304,6
ST311Q01JA,,Agree/disagree: I do not care what happens to other people.,numeric,3265,6
ST311Q02JA,,Agree/disagree: I can sense how others feel.,numeric,3389,6
ST311Q03JA,,Agree/disagree: It is important to me that my friends are okay.,numeric,3309,6
ST311Q04JA,,Agree/disagree: I can see situations from my friends' perspectives.,numeric,3287,6
ST311Q05JA,,Agree/disagree: I ignore the feelings of others.,numeric,3346,6
ST311Q06JA,,Agree/disagree: I am more compassionate than most people I know.,numeric,3420,6
ST311Q07JA,,Agree/disagree: It is difficult for me to sense what others think.,numeric,3378,6
ST311Q08JA,,Agree/disagree: I predict the needs of others.,numeric,3342,6
ST311Q09JA,,Agree/disagree: I get upset if bad things happen to other people.,numeric,3302,6
ST311Q10JA,,Agree/disagree: I understand what others want.,numeric,3274,6
ST315Q01JA,,Agree/disagree: I am suspicious of others' intentions.,numeric,3332,6
ST315Q02JA,,Agree/disagree: I think most of my classmates keep their promises.,numeric,3320,6
ST315Q03JA,,Agree/disagree: I believe that most people are honest.,numeric,3328,6
ST315Q04JA,,Agree/disagree: I believe that my friends can keep my secrets.,numeric,3355,6
ST315Q05JA,,Agree/disagree: I think most people are selfish.,numeric,3280,6
ST315Q06JA,,Agree/disagree: I trust what people say.,numeric,3361,6
ST315Q07JA,,Agree/disagree: I think others will try to harm me.,numeric,3349,6
ST315Q08JA,,Agree/disagree: I am more trusting with others than most people I know.,numeric,3318,6
ST315Q09JA,,Agree/disagree: I believe most people are kind.,numeric,3341,6
ST315Q10JA,,Agree/disagree: I am willing to forgive those who have done wrong.,numeric,3342,6
ST303Q01JA,,Agree/disagree: I try to consider everybody's perspective before I take a position.,numeric,2508,6
ST303Q02JA,,Agree/disagree: I want to understand my classmates' ways of thinking.,numeric,2525,6
ST303Q03JA,,Agree/disagree: I can view almost all things from different angles.,numeric,2537,6
ST303Q04JA,,Agree/disagree: I imagine how I would feel if I were in somebody else's place.,numeric,2512,6
ST303Q05JA,,Agree/disagree: I think there is only one correct position in a disagreement.,numeric,2494,6
ST303Q06JA,,Agree/disagree: I want to understand why people behave the way they do.,numeric,2552,6
ST303Q07JA,,Agree/disagree: I find it difficult to anticipate what other people think.,numeric,2499,6
ST303Q08JA,,Agree/disagree: I try to envision how things look from my friends' points of view.,numeric,2493,6
ST305Q01JA,,Agree/disagree: I am comfortable with taking the lead role in a group.,numeric,3283,6
ST305Q02JA,,Agree/disagree: I know how to convince others to do what I want.,numeric,3301,6
ST305Q03JA,,Agree/disagree: I enjoy leading others.,numeric,3312,6
ST305Q04JA,,Agree/disagree: I keep my opinion to myself in group discussions.,numeric,3406,6
ST305Q05JA,,Agree/disagree: I speak up to others about things that matter to me.,numeric,3370,6
ST305Q06JA,,Agree/disagree: I take initiative when working with my classmates.,numeric,3342,6
ST305Q07JA,,Agree/disagree: I wait for others to take a lead.,numeric,3394,6
ST305Q08JA,,Agree/disagree: I find it hard to influence people.,numeric,3321,6
ST305Q09JA,,Agree/disagree: I want to be in charge.,numeric,3329,6
ST305Q10JA,,Agree/disagree: I like to be a leader in my class.,numeric,3326,6
ST345Q01JA,,Agree/disagree: I get nervous easily.,numeric,3362,6
ST345Q02JA,,Agree/disagree: I am more relaxed than most people I know.,numeric,3294,6
ST345Q03JA,,Agree/disagree: I worry about many things.,numeric,3275,6
ST345Q04JA,,Agree/disagree: I panic easily.,numeric,3349,6
ST345Q05JA,,Agree/disagree: I am able to work under pressure.,numeric,3425,6
ST345Q06JA,,Agree/disagree: I remain calm under stress.,numeric,3311,6
ST345Q07JA,,Agree/disagree: I feel nervous about approaching exams.,numeric,3398,6
ST345Q08JA,,Agree/disagree: I can recover quickly after something bad has happened.,numeric,3311,6
ST345Q09JA,,Agree/disagree: I handle stress well.,numeric,3309,6
ST345Q10JA,,Agree/disagree: I am afraid of many things.,numeric,3305,6
ST313Q01JA,,Agree/disagree: I keep my emotions under control.,numeric,3271,6
ST313Q02JA,,Agree/disagree: I get mad easily.,numeric,3288,6
ST313Q03JA,,Agree/disagree: I change my mood a lot.,numeric,3328,6
ST313Q04JA,,Agree/disagree: I overreact to every little thing in life.,numeric,3336,6
ST313Q05JA,,Agree/disagree: I stay calm even in tense situations.,numeric,3352,6
ST313Q06JA,,Agree/disagree: I am easily upset.,numeric,3303,6
ST313Q07JA,,Agree/disagree: I know how to control my feelings.,numeric,3383,6
ST313Q08JA,,Agree/disagree: I have unpredictable emotions.,numeric,3394,6
ST313Q09JA,,Agree/disagree: I am moody.,numeric,3386,6
ST313Q10JA,,Agree/disagree: I get frustrated quickly.,numeric,3297,6
ST263Q02JA,,Agree/disagree: Your intelligence is something about you that you cannot change very much.,numeric,63,5
ST263Q04JA,,"Agree/disagree: Some people are just not good at mathematics, no matter how hard they study.",numeric,61,5
ST263Q06JA,,"Agree/disagree: Some people are just not good in [test language], no matter how hard they study.",numeric,63,5
ST263Q08JA,,Agree/disagree: Your creativity is something about you that you cannot change very much.,numeric,6606,1
ST016Q01NA,,"Overall, how satisfied are you with your life as a whole these days?",numeric,6606,1
ST059Q01TA,,Number of [class periods] per week in mathematics,numeric,109,41
ST059Q02JA,,"Total number of [class periods] per week for all subjects, including mathematics",numeric,175,77
ST296Q01JA,,How much time spent on homework in: Mathematics homework,numeric,70,7
ST296Q02JA,,How much time spent on homework in: [Test language] homework,numeric,77,7
ST296Q03JA,,How much time spent on homework in: [Science] homework,numeric,87,7
ST296Q04JA,,"How much time spent on homework in: Total time for all homework in all subjects, including subjects not listed above",numeric,78,7
ST272Q01JA,,"On 1-10 scale, rate quality of mathematics instruction this school year? Quality of mathematics instruction?",numeric,6606,1
ST273Q01JA,,How often: Students do not listen to what the teacher said.,numeric,1913,5
ST273Q02JA,,How often: There is noise and disorder.,numeric,1984,5
ST273Q03JA,,How often: The teacher has to wait a long time for students to quiet down.,numeric,1958,5
ST273Q04JA,,How often: Students cannot work well.,numeric,1866,5
ST273Q05JA,,How often: Students do not start working for a long time after the lesson begins.,numeric,1955,5
ST273Q06JA,,"How often: Students get distracted by using [digital resources] (e.g. smartphones, websites, apps).",numeric,1953,5
ST273Q07JA,,"How often: Students get distracted by other students who are using [digital resources] (e.g. smartphones, websites, apps).",numeric,1925,5
ST270Q01JA,,How often: The teacher shows an interest in every student's learning.,numeric,68,5
ST270Q02JA,,How often: The teacher gives extra help when students need it.,numeric,67,5
ST270Q03JA,,How often: The teacher helps students with their learning.,numeric,68,5
ST270Q04JA,,How often: The teacher continues teaching until the students understand.,numeric,71,5
ST285Q01JA,,How often: The teacher asked us to solve mathematics problems without computing anything.,numeric,2944,6
ST285Q02JA,,How often: The teacher asked us to explain how we solved a mathematics problem.,numeric,3033,6
ST285Q03JA,,How often: The teacher asked us to explain what assumptions we were making when solving a mathematics problem.,numeric,2974,6
ST285Q04JA,,How often: The teacher asked us to explain our reasoning when solving a mathematics problem.,numeric,3006,6
ST285Q05JA,,How often: The teacher asked us to defend our answer to a mathematics problem.,numeric,2960,6
ST285Q06JA,,How often: The teacher asked us to think about how new and old mathematics topics were related.,numeric,2934,6
ST285Q07JA,,How often: The teacher encouraged us to think about how to solve mathematics problems in different ways than demonstrated in class.,numeric,2975,6
ST285Q08JA,,How often: The teacher told us to keep trying even when we face difficulties with a mathematics task.,numeric,2974,6
ST285Q09JA,,How often: The teacher taught us to memorize rules and apply them to solve mathematics problems.,numeric,3018,6
ST283Q01JA,,How often: The teacher asked us to think of problems from everyday life that could be solved with new mathematics knowledge we learned.,numeric,2984,6
ST283Q02JA,,How often: The teacher showed us how mathematics can be useful in our everyday lives.,numeric,2983,6
ST283Q03JA,,How often: The teacher encouraged us to 'think mathematically'.,numeric,2987,6
ST283Q04JA,,How often: The teacher taught us how to use mathematical logic when approaching new situations.,numeric,2977,6
ST283Q05JA,,How often: The teacher showed us how some problems that look difficult can be solved more easily by understanding how the number system is organized.,numeric,2988,6
ST283Q06JA,,How often: The teacher gave problems from everyday life involving numbers and asked us to make a decision about the situation.,numeric,2985,6
ST283Q07JA,,How often: The teacher asked us how different topics are connected to a bigger mathematical idea.,numeric,2954,6
ST283Q08JA,,How often: The teacher encouraged us to think about how a problem from everyday life could be solved using mathematics.,numeric,3027,6
ST283Q09JA,,How often: The teacher explained how different mathematical ideas connect to a larger context.,numeric,2989,6
ST275Q01WA,,How often at school: Working out from a [train timetable] how long it would take to get from one place to another,numeric,2951,5
ST275Q02WA,,How often at school: Calculating how much more expensive a computer would be after adding tax,numeric,3000,5
ST275Q03WA,,How often at school: Calculating how many square metres of tiles you need to cover a floor,numeric,3017,5
ST275Q04WA,,How often at school: Understanding scientific tables presented in an article,numeric,2994,5
ST275Q05WA,,How often at school: Solving an equation like 6x[sup]2[/sup]+5 = 29,numeric,2994,5
ST275Q06WA,,"How often at school: Finding the actual distance between two places on a map with a 1?10,000 scale",numeric,2979,5
ST275Q07WA,,How often at school: Solving an equation like 2(x+3) = (x+3)(x-3),numeric,3033,5
ST275Q08WA,,How often at school: Calculating the power consumption of an electronic appliance per week,numeric,2925,5
ST275Q09WA,,How often at school: Solving an equation like 3x+5=17,numeric,2994,5
ST276Q01JA,,"How often at school: Extracting mathematical information from diagrams, graphs, or simulations",numeric,3321,5
ST276Q02JA,,How often at school: Interpreting mathematical solutions in the context of a real-life challenge,numeric,3360,5
ST276Q03JA,,How often at school: Using the concept of statistical variation to make a decision,numeric,3385,5
ST276Q04JA,,How often at school: Identifying mathematical aspects of a real-world problem,numeric,3353,5
ST276Q05JA,,How often at school: Identifying constraints and assumptions behind mathematical modelling,numeric,3379,5
ST276Q06JA,,"How often at school: Representing a situation mathematically using variables, symbols, or diagrams",numeric,3364,5
ST276Q07JA,,How often at school: Evaluating the significance of observed patterns in data,numeric,3398,5
ST276Q08JA,,How often at school: Coding/programming computers,numeric,3252,5
ST276Q09JA,,"How often at school: Working with computer mathematics systems (e.g. spreadsheets, programming software, graphing calculators)",numeric,3336,5
ST276Q10JA,,How often at school: Calculating the properties of an irregularly shaped object,numeric,3336,5
ST268Q01JA,,Agree/disagree: Mathematics is one of my favourite subjects.,numeric,69,5
ST268Q02JA,,Agree/disagree: [Test language] is one of my favourite subjects.,numeric,74,5
ST268Q03JA,,Agree/disagree: [Science] is one of my favourite subjects.,numeric,79,5
ST268Q04JA,,Agree/disagree: Mathematics is easy for me.,numeric,73,5
ST268Q05JA,,Agree/disagree: [Test language] is easy for me.,numeric,71,5
ST268Q06JA,,Agree/disagree: [Science] is easy for me.,numeric,82,5
ST268Q07JA,,Agree/disagree: I want to do well in my mathematics class.,numeric,66,5
ST268Q08JA,,Agree/disagree: I want to do well in my [test language] class.,numeric,71,5
ST268Q09JA,,Agree/disagree: I want to do well in my [science] class.,numeric,65,5
ST290Q01WA,,How confident in math tasks: Working out from a [train timetable] how long it would take to get from one place to another,numeric,2963,5
ST290Q02WA,,How confident in math tasks: Calculating how much more expensive a computer would be after adding tax,numeric,3023,5
ST290Q03WA,,How confident in math tasks: Calculating how many square metres of tiles you need to cover a floor,numeric,3078,5
ST290Q04WA,,How confident in math tasks: Understanding scientific tables presented in an article,numeric,2925,5
